account id,product code,opening date,reporting period,period balance,£ withdrawal,£ receipt,£ internal transfer,interest rate,account tenure (months)
P001-2023-08-0024,P001,2023-08-24,2025-07,1752.56,97.74,108.37,27.79,0.03354,24
P001-2023-08-0024,P001,2023-08-24,2025-08,1621.17,134.85,31.73,28.27,0.03135,25
P001-2023-08-0024,P001,2023-08-24,2025-09,1501.1,130.85,26.96,16.19,0.03294,26
P001-2023-08-0026,P001,2023-08-08,2025-07,1714.31,68.56,52.31,4.55,0.03044,24
P001-2023-08-0026,P001,2023-08-08,2025-08,1741.51,82.59,132.83,23.04,0.03115,25
P001-2023-08-0026,P001,2023-08-08,2025-09,1729.41,22.39,10.3,0.0,0.03023,26
P001-2023-08-0028,P001,2023-08-02,2025-07,3818.65,120.57,199.93,0.0,0.03389,24
P001-2023-08-0044,P001,2023-08-08,2025-07,489.73,27.22,9.87,0.0,0.02929,24
P001-2023-09-0002,P001,2023-09-23,2025-07,1835.12,136.91,75.44,4.74,0.03678,23
P001-2023-09-0002,P001,2023-09-23,2025-08,1820.44,144.96,153.67,23.39,0.03017,24
P001-2023-09-0002,P001,2023-09-23,2025-09,1812.15,23.64,23.39,8.03,0.03473,25
P001-2023-09-0003,P001,2023-09-09,2025-07,3978.24,179.14,205.88,26.86,0.03144,23
P001-2023-09-0003,P001,2023-09-09,2025-08,3663.18,298.56,13.2,29.7,0.03833,24
P001-2023-09-0003,P001,2023-09-09,2025-09,3515.74,299.41,195.42,43.45,0.03117,25
P001-2023-09-0006,P001,2023-09-09,2025-07,1905.45,153.16,27.22,16.26,0.03053,23
P001-2023-09-0006,P001,2023-09-09,2025-08,1976.51,21.17,130.76,38.53,0.0335,24
P001-2023-09-0006,P001,2023-09-09,2025-09,2007.66,99.12,151.82,21.54,0.0308,25
P001-2023-09-0007,P001,2023-09-18,2025-07,1180.15,74.78,29.9,21.3,0.03466,23
P001-2023-09-0007,P001,2023-09-18,2025-08,1164.12,64.96,48.93,0.0,0.03529,24
P001-2023-09-0007,P001,2023-09-18,2025-09,1136.89,89.68,87.2,24.75,0.03311,25
P001-2023-09-0012,P001,2023-09-22,2025-07,9809.93,1009.58,224.53,20.74,0.02788,23
P001-2023-09-0012,P001,2023-09-22,2025-08,10010.98,180.67,420.15,38.43,0.03071,24
P001-2023-09-0012,P001,2023-09-22,2025-09,9639.47,739.61,419.1,51.0,0.03268,25
P001-2023-09-0013,P001,2023-09-22,2025-07,3365.88,354.7,164.9,16.99,0.03419,23
P001-2023-09-0013,P001,2023-09-22,2025-08,3338.84,112.57,138.57,53.04,0.0317,24
P001-2023-09-0013,P001,2023-09-22,2025-09,3252.9,159.08,132.88,59.74,0.03586,25
P001-2023-09-0015,P001,2023-09-07,2025-07,2150.4,126.64,72.01,0.0,0.03369,23
P001-2023-09-0015,P001,2023-09-07,2025-08,2156.26,94.15,107.48,7.47,0.03221,24
P001-2023-09-0015,P001,2023-09-07,2025-09,2190.7,51.01,98.27,12.83,0.02625,25
P001-2023-09-0016,P001,2023-09-17,2025-07,1382.96,70.82,53.67,12.59,0.03409,23
P001-2023-09-0016,P001,2023-09-17,2025-08,1313.43,71.12,17.58,15.99,0.03258,24
P001-2023-09-0016,P001,2023-09-17,2025-09,1280.49,116.11,90.67,7.49,0.02954,25
P001-2023-09-0017,P001,2023-09-24,2025-07,4048.59,676.22,142.53,53.58,0.03249,23
P001-2023-09-0017,P001,2023-09-24,2025-08,4107.38,200.4,267.64,8.45,0.02787,24
P001-2023-09-0017,P001,2023-09-24,2025-09,4027.27,248.88,216.37,47.61,0.03395,25
P001-2023-09-0020,P001,2023-09-09,2025-07,1435.69,92.71,46.48,0.0,0.03365,23
P001-2023-09-0024,P001,2023-09-22,2025-07,3832.58,225.44,199.85,14.41,0.03472,23
P001-2023-09-0024,P001,2023-09-22,2025-08,3614.6,246.74,132.83,104.07,0.02759,24
P001-2023-09-0024,P001,2023-09-22,2025-09,3395.16,194.48,40.53,65.49,0.02941,25
P001-2023-09-0040,P001,2023-09-17,2025-07,2544.15,143.67,74.64,42.11,0.02951,23
P001-2023-09-0040,P001,2023-09-17,2025-08,2484.52,224.73,167.62,2.51,0.02883,24
P001-2023-09-0040,P001,2023-09-17,2025-09,2376.17,175.76,91.61,24.2,0.03298,25
P001-2023-09-0042,P001,2023-09-23,2025-07,2905.73,300.07,140.65,61.85,0.03211,23
P001-2023-09-0042,P001,2023-09-23,2025-08,2942.28,27.73,90.16,25.88,0.03182,24
P001-2023-09-0042,P001,2023-09-23,2025-09,2849.08,171.58,116.28,37.89,0.02686,25
P001-2023-09-0043,P001,2023-09-07,2025-07,1883.36,153.01,67.91,15.9,0.03054,23
P001-2023-09-0043,P001,2023-09-07,2025-08,1759.23,130.21,32.53,26.45,0.02924,24
P001-2023-09-0043,P001,2023-09-07,2025-09,1781.16,72.42,138.1,43.76,0.03603,25
P001-2023-10-0000,P001,2023-10-26,2025-07,1195.46,53.38,61.68,4.85,0.03363,22
P001-2023-10-0000,P001,2023-10-26,2025-08,1184.54,83.08,84.28,12.13,0.03034,23
P001-2023-10-0000,P001,2023-10-26,2025-09,1148.56,47.88,32.89,21.0,0.03422,24
P001-2023-10-0001,P001,2023-10-26,2025-07,1634.73,112.79,80.9,0.0,0.0289,22
P001-2023-10-0001,P001,2023-10-26,2025-08,1610.84,43.04,39.22,20.08,0.03638,23
P001-2023-10-0001,P001,2023-10-26,2025-09,1482.33,175.02,49.34,2.83,0.03609,24
P001-2023-10-0007,P001,2023-10-15,2025-07,3098.31,332.6,81.53,35.84,0.03735,22
P001-2023-10-0007,P001,2023-10-15,2025-08,2844.75,237.02,45.61,62.14,0.03436,23
P001-2023-10-0007,P001,2023-10-15,2025-09,2605.71,229.03,24.37,34.39,0.03126,24
P001-2023-10-0009,P001,2023-10-13,2025-07,3525.79,215.12,78.65,22.9,0.03419,22
P001-2023-10-0009,P001,2023-10-13,2025-08,3423.4,301.23,198.85,0.0,0.03834,23
P001-2023-10-0009,P001,2023-10-13,2025-09,3420.6,108.98,153.11,46.94,0.03017,24
P001-2023-10-0010,P001,2023-10-06,2025-07,2537.04,78.32,40.47,8.98,0.03198,22
P001-2023-10-0010,P001,2023-10-06,2025-08,2455.01,185.72,139.53,35.84,0.03488,23
P001-2023-10-0010,P001,2023-10-06,2025-09,2527.54,43.86,121.54,5.15,0.03322,24
P001-2023-10-0018,P001,2023-10-10,2025-07,1281.88,66.16,45.98,19.98,0.02926,22
P001-2023-10-0018,P001,2023-10-10,2025-08,1272.31,14.13,15.65,11.09,0.03558,23
P001-2023-10-0018,P001,2023-10-10,2025-09,1246.87,47.27,34.68,12.85,0.02823,24
P001-2023-10-0021,P001,2023-10-21,2025-07,1260.29,160.06,70.4,18.77,0.03436,22
P001-2023-10-0021,P001,2023-10-21,2025-08,1232.68,29.94,30.89,28.57,0.03189,23
P001-2023-10-0021,P001,2023-10-21,2025-09,1178.36,107.9,59.56,5.98,0.03424,24
P001-2023-10-0023,P001,2023-10-01,2025-07,1943.39,0.0,27.95,37.46,0.02814,22
P001-2023-10-0023,P001,2023-10-01,2025-08,1839.04,111.41,30.08,23.02,0.03229,23
P001-2023-10-0023,P001,2023-10-01,2025-09,1793.4,103.49,97.98,40.12,0.03282,24
P001-2023-10-0024,P001,2023-10-25,2025-07,1155.35,63.03,45.72,33.34,0.0287,22
P001-2023-10-0024,P001,2023-10-25,2025-08,1111.62,49.98,21.01,14.75,0.03299,23
P001-2023-10-0024,P001,2023-10-25,2025-09,1092.31,50.23,51.86,20.94,0.03198,24
P001-2023-10-0025,P001,2023-10-05,2025-07,3345.37,153.79,189.73,56.64,0.02994,22
P001-2023-10-0025,P001,2023-10-05,2025-08,3143.7,302.52,100.85,0.0,0.03573,23
P001-2023-10-0025,P001,2023-10-05,2025-09,3250.0,0.0,125.51,19.22,0.03192,24
P001-2023-10-0028,P001,2023-10-02,2025-07,4342.15,224.84,269.4,38.58,0.02974,22
P001-2023-10-0028,P001,2023-10-02,2025-08,4240.01,79.61,46.15,68.68,0.02985,23
P001-2023-10-0028,P001,2023-10-02,2025-09,4001.62,219.98,71.33,89.74,0.02992,24
P001-2023-10-0029,P001,2023-10-05,2025-07,2212.01,256.09,62.04,0.0,0.0286,22
P001-2023-10-0029,P001,2023-10-05,2025-08,2147.36,119.6,55.23,0.27,0.0285,23
P001-2023-10-0029,P001,2023-10-05,2025-09,2074.56,194.85,122.04,0.0,0.03605,24
P001-2023-11-0000,P001,2023-11-21,2025-07,6756.06,402.76,371.58,0.0,0.03749,21
P001-2023-11-0000,P001,2023-11-21,2025-08,6952.94,10.88,318.05,110.3,0.03389,22
P001-2023-11-0000,P001,2023-11-21,2025-09,6801.17,320.51,307.12,138.37,0.03606,23
P001-2023-11-0003,P001,2023-11-05,2025-07,6250.87,109.1,286.82,95.7,0.03114,21
P001-2023-11-0003,P001,2023-11-05,2025-08,5727.0,733.82,314.26,104.31,0.03588,22
P001-2023-11-0009,P001,2023-11-04,2025-07,2526.69,228.11,37.2,21.34,0.02965,21
P001-2023-11-0009,P001,2023-11-04,2025-08,2652.11,0.0,128.79,3.37,0.03286,22
P001-2023-11-0009,P001,2023-11-04,2025-09,2694.28,57.7,136.28,36.42,0.03051,23
P001-2023-11-0010,P001,2023-11-27,2025-07,986.39,85.52,6.41,15.04,0.03213,21
P001-2023-11-0010,P001,2023-11-27,2025-08,958.7,1.57,0.0,26.11,0.03122,22
P001-2023-11-0010,P001,2023-11-27,2025-09,922.81,27.41,7.61,16.09,0.0349,23
P001-2023-11-0015,P001,2023-11-06,2025-07,2013.67,109.99,92.83,0.0,0.02552,21
P001-2023-11-0022,P001,2023-11-03,2025-07,2272.19,246.73,95.51,0.0,0.02913,21
P001-2023-11-0022,P001,2023-11-03,2025-08,2174.01,146.63,94.41,45.95,0.03458,22
P001-2023-11-0022,P001,2023-11-03,2025-09,2074.44,107.73,59.02,50.86,0.03044,23
P001-2023-11-0025,P001,2023-11-18,2025-07,3685.58,207.21,296.44,0.0,0.03488,21
P001-2023-11-0025,P001,2023-11-18,2025-08,3409.76,278.6,5.86,3.07,0.02968,22
P001-2023-11-0025,P001,2023-11-18,2025-09,3371.02,223.36,184.62,0.0,0.02956,23
P001-2023-11-0032,P001,2023-11-04,2025-07,2698.74,308.33,180.83,52.04,0.03209,21
P001-2023-11-0032,P001,2023-11-04,2025-08,2583.01,229.75,138.91,24.9,0.03188,22
P001-2023-11-0032,P001,2023-11-04,2025-09,2548.89,82.04,47.92,0.0,0.03675,23
P001-2023-11-0038,P001,2023-11-20,2025-07,2714.35,177.83,146.92,84.71,0.02953,21
P001-2023-11-0038,P001,2023-11-20,2025-08,2620.97,225.56,148.55,16.37,0.02991,22
P001-2023-11-0038,P001,2023-11-20,2025-09,2658.24,38.01,108.17,32.88,0.03361,23
P001-2023-11-0040,P001,2023-11-06,2025-07,2676.83,284.49,159.81,66.98,0.03934,21
P001-2023-11-0040,P001,2023-11-06,2025-08,2671.37,81.35,100.89,25.0,0.03054,22
P001-2023-11-0040,P001,2023-11-06,2025-09,2460.3,349.62,138.55,0.0,0.03707,23
P001-2023-12-0002,P001,2023-12-25,2025-07,9586.12,888.22,367.32,192.86,0.03733,20
P001-2023-12-0010,P001,2023-12-25,2025-07,1444.92,117.31,56.92,0.0,0.03234,20
P001-2023-12-0014,P001,2023-12-18,2025-07,1466.64,96.62,81.71,20.19,0.03284,20
P001-2023-12-0014,P001,2023-12-18,2025-08,1496.66,71.81,107.43,5.61,0.02601,21
P001-2023-12-0014,P001,2023-12-18,2025-09,1440.35,124.34,68.04,0.0,0.03494,22
P001-2023-12-0015,P001,2023-12-26,2025-07,3876.86,127.64,108.77,19.13,0.03121,20
P001-2023-12-0015,P001,2023-12-26,2025-08,3979.6,57.03,222.93,63.16,0.03448,21
P001-2023-12-0015,P001,2023-12-26,2025-09,3886.36,212.42,147.54,28.37,0.03137,22
P001-2023-12-0016,P001,2023-12-21,2025-07,1504.6,51.6,53.46,11.5,0.03284,20
P001-2023-12-0016,P001,2023-12-21,2025-08,1506.95,65.3,81.94,14.29,0.03434,21
P001-2023-12-0016,P001,2023-12-21,2025-09,1495.21,89.14,110.09,32.68,0.03327,22
P001-2023-12-0019,P001,2023-12-18,2025-07,3809.56,182.38,23.36,103.48,0.03864,20
P001-2023-12-0019,P001,2023-12-18,2025-08,3529.09,369.93,200.45,110.99,0.03437,21
P001-2023-12-0019,P001,2023-12-18,2025-09,3177.63,443.19,91.73,0.0,0.02676,22
P001-2023-12-0022,P001,2023-12-03,2025-07,1841.07,91.35,56.91,1.38,0.03075,20
P001-2023-12-0022,P001,2023-12-03,2025-08,1761.34,145.73,90.24,24.24,0.02786,21
P001-2023-12-0022,P001,2023-12-03,2025-09,1720.13,87.37,72.34,26.18,0.03485,22
P001-2023-12-0026,P001,2023-12-20,2025-07,2894.53,96.83,55.49,82.85,0.03523,20
P001-2023-12-0026,P001,2023-12-20,2025-08,2715.82,161.39,55.28,72.59,0.03002,21
P001-2023-12-0026,P001,2023-12-20,2025-09,2597.84,276.67,194.92,36.23,0.03255,22
P001-2023-12-0027,P001,2023-12-12,2025-07,3095.65,34.82,154.77,53.12,0.03554,20
P001-2023-12-0027,P001,2023-12-12,2025-08,3226.83,63.06,246.4,52.16,0.03252,21
P001-2023-12-0027,P001,2023-12-12,2025-09,2979.07,367.99,168.63,48.39,0.03518,22
P001-2023-12-0029,P001,2023-12-11,2025-07,3585.56,190.64,116.63,87.99,0.03513,20
P001-2023-12-0029,P001,2023-12-11,2025-08,3591.86,192.42,224.34,25.62,0.03079,21
P001-2023-12-0029,P001,2023-12-11,2025-09,3462.13,315.1,221.7,36.33,0.03235,22
P001-2023-12-0030,P001,2023-12-03,2025-07,3351.55,230.18,157.46,0.0,0.03474,20
P001-2023-12-0030,P001,2023-12-03,2025-08,3349.38,63.81,89.92,28.27,0.02902,21
P001-2023-12-0030,P001,2023-12-03,2025-09,3204.87,211.93,104.38,36.96,0.03268,22
P001-2023-12-0035,P001,2023-12-01,2025-07,2224.75,31.46,98.3,19.73,0.02879,20
P001-2023-12-0035,P001,2023-12-01,2025-08,2218.75,6.78,34.09,33.3,0.03364,21
P001-2023-12-0035,P001,2023-12-01,2025-09,2267.88,132.69,181.82,0.0,0.02911,22
P001-2023-12-0037,P001,2023-12-06,2025-07,1572.56,122.89,63.95,37.27,0.03424,20
P001-2023-12-0037,P001,2023-12-06,2025-08,1544.21,64.1,71.25,35.51,0.03381,21
P001-2023-12-0037,P001,2023-12-06,2025-09,1570.93,54.14,95.85,15.0,0.0307,22
P001-2023-12-0039,P001,2023-12-09,2025-07,2681.13,141.02,137.96,41.43,0.03459,20
P001-2023-12-0039,P001,2023-12-09,2025-08,2506.28,308.22,133.37,0.0,0.02753,21
P001-2023-12-0039,P001,2023-12-09,2025-09,2310.31,203.94,26.22,18.26,0.0354,22
P001-2023-12-0040,P001,2023-12-11,2025-07,957.9,26.44,59.21,4.54,0.03447,20
P001-2023-12-0040,P001,2023-12-11,2025-08,928.5,49.22,47.25,27.43,0.03206,21
P001-2023-12-0040,P001,2023-12-11,2025-09,909.82,78.89,60.2,0.0,0.04007,22
P001-2024-01-0005,P001,2024-01-14,2025-07,2763.24,272.71,95.0,25.15,0.0255,19
P001-2024-01-0005,P001,2024-01-14,2025-08,2598.26,167.89,55.14,52.23,0.03283,20
P001-2024-01-0007,P001,2024-01-06,2025-07,2912.92,255.03,127.29,31.34,0.0284,19
P001-2024-01-0007,P001,2024-01-06,2025-08,2650.45,368.17,176.82,71.13,0.03345,20
P001-2024-01-0007,P001,2024-01-06,2025-09,2668.62,67.42,119.62,34.03,0.03457,21
P001-2024-01-0008,P001,2024-01-14,2025-07,2316.02,178.7,56.5,56.98,0.02689,19
P001-2024-01-0008,P001,2024-01-14,2025-08,2275.51,130.93,93.9,3.48,0.03744,20
P001-2024-01-0008,P001,2024-01-14,2025-09,1969.89,304.3,30.4,31.71,0.03155,21
P001-2024-01-0012,P001,2024-01-07,2025-07,1643.77,198.49,53.54,0.0,0.02873,19
P001-2024-01-0012,P001,2024-01-07,2025-08,1548.82,105.45,38.55,28.05,0.02824,20
P001-2024-01-0012,P001,2024-01-07,2025-09,1513.13,59.14,23.46,0.0,0.03103,21
P001-2024-01-0013,P001,2024-01-24,2025-07,2156.22,270.1,152.19,9.87,0.03868,19
P001-2024-01-0013,P001,2024-01-24,2025-08,2111.86,158.98,128.78,14.16,0.03268,20
P001-2024-01-0013,P001,2024-01-24,2025-09,1963.26,118.85,9.79,39.54,0.03345,21
P001-2024-01-0016,P001,2024-01-03,2025-07,2246.41,106.38,114.95,3.28,0.02621,19
P001-2024-01-0016,P001,2024-01-03,2025-08,2267.53,24.33,45.44,0.0,0.03081,20
P001-2024-01-0016,P001,2024-01-03,2025-09,2264.85,106.62,134.67,30.72,0.03073,21
P001-2024-01-0017,P001,2024-01-03,2025-07,3212.48,138.74,186.64,0.0,0.03012,19
P001-2024-01-0020,P001,2024-01-15,2025-07,1611.63,219.48,107.11,18.83,0.03106,19
P001-2024-01-0020,P001,2024-01-15,2025-08,1564.02,94.37,77.43,30.66,0.03926,20
P001-2024-01-0020,P001,2024-01-15,2025-09,1425.62,174.42,47.43,11.41,0.03188,21
P001-2024-01-0028,P001,2024-01-19,2025-07,2103.43,167.07,0.0,0.0,0.03068,19
P001-2024-01-0028,P001,2024-01-19,2025-08,2005.34,162.84,64.75,0.0,0.03387,20
P001-2024-01-0028,P001,2024-01-19,2025-09,1995.96,91.72,133.1,50.76,0.02693,21
P001-2024-01-0042,P001,2024-01-27,2025-07,1463.48,127.31,100.26,14.59,0.03322,19
P001-2024-01-0042,P001,2024-01-27,2025-08,1402.89,120.74,79.74,19.6,0.03427,20
P001-2024-01-0042,P001,2024-01-27,2025-09,1328.9,119.17,69.05,23.88,0.03,21
P001-2024-02-0000,P001,2024-02-12,2025-07,7656.49,709.32,43.54,64.21,0.03129,18
P001-2024-02-0000,P001,2024-02-12,2025-08,7389.84,462.11,273.85,78.39,0.03048,19
P001-2024-02-0000,P001,2024-02-12,2025-09,7247.7,248.53,273.11,166.73,0.02813,20
P001-2024-02-0003,P001,2024-02-02,2025-07,6262.92,323.04,415.34,114.35,0.03488,18
P001-2024-02-0003,P001,2024-02-02,2025-08,6350.62,313.14,479.29,78.44,0.02524,19
P001-2024-02-0003,P001,2024-02-02,2025-09,5979.87,503.52,163.47,30.7,0.02819,20
P001-2024-02-0004,P001,2024-02-03,2025-07,1302.07,61.4,84.35,44.38,0.02811,18
P001-2024-02-0004,P001,2024-02-03,2025-08,1236.46,91.47,53.1,27.25,0.03305,19
P001-2024-02-0004,P001,2024-02-03,2025-09,1201.64,92.63,70.61,12.81,0.0267,20
P001-2024-02-0007,P001,2024-02-13,2025-07,2474.8,141.9,100.18,85.31,0.03211,18
P001-2024-02-0007,P001,2024-02-13,2025-08,2390.48,108.91,80.52,55.93,0.02844,19
P001-2024-02-0008,P001,2024-02-22,2025-07,3738.13,125.2,61.3,8.61,0.03002,18
P001-2024-02-0008,P001,2024-02-22,2025-08,3680.78,232.74,203.11,27.71,0.02997,19
P001-2024-02-0008,P001,2024-02-22,2025-09,3646.27,219.42,184.91,0.0,0.03515,20
P001-2024-02-0010,P001,2024-02-25,2025-07,4826.25,315.27,223.89,44.51,0.03183,18
